Paragraph:,Quote:,Scare_Quote:
"Sem wist niet dat voor een juridische geslachtswijziging op dat moment een sterilisatie vereist was. ""Ik heb er nare gevoelens bij gehad toen ik dat ontdekte. Ik dacht: 'dit klopt niet, waarom mag dit in Nederland?'. Alsof je een tweederangsburger bent, niet goed genoeg bent om je voort te planten. Ik heb mij daar publiekelijk niet over durven uitlaten, omdat ik niet ge-out wilde worden als transgender.""","'dit klopt niet, waarom mag dit in Nederland?'",0.0
"Over de 'tegemoetkoming' van 5000 euro voor slachtoffers van de oude Transgenderwet is hij minder enthousiast. ""Het is veel geld, maar dit bedrag geeft niet het juiste signaal af. Het gaat hier niet om een verkeerd geknipt kapsel; deze wet is levensbepalend geweest voor transgenders. Als ik later in een verzorgingshuis zit, heb ik geen kinderen of kleinkinderen die bij mij langskomen.""",'tegemoetkoming',1.0
"Met deze woorden ging de bekendste nieuwslezer van België met pensioen. Martine Tanghe (65), volgens haar werkgever de 'moeder aller nieuwsankers', presenteerde om 19.00 uur voor de laatste keer Het Journaal.",'moeder aller nieuwsankers',0.0
"Tanghe sloot Het Journaal meestal af met 'Dank dat u bij ons was', maar naar gelang de actualiteit werden die laatste woorden ook wel eens vervangen. Gedurende de coronapandemie waren haar laatste woorden ook wel 'Houd het veilig' of 'Blijf gezond'.",'Dank dat u bij ons was',0.0
"Tanghe sloot Het Journaal meestal af met 'Dank dat u bij ons was', maar naar gelang de actualiteit werden die laatste woorden ook wel eens vervangen. Gedurende de coronapandemie waren haar laatste woorden ook wel 'Houd het veilig' of 'Blijf gezond'.",'Houd het veilig',0.0
"Tanghe sloot Het Journaal meestal af met 'Dank dat u bij ons was', maar naar gelang de actualiteit werden die laatste woorden ook wel eens vervangen. Gedurende de coronapandemie waren haar laatste woorden ook wel 'Houd het veilig' of 'Blijf gezond'.",'Blijf gezond',0.0
"Nadat de afgelopen 1,5 jaar al drie zetels verloren waren gegaan door conflicten in verschillende provincies, verlieten de afgelopen week nog eens ten minste 24 Statenleden de partij omdat ze zich niet meer thuis voelen bij de 'lijn-Baudet'. Dat geldt ook voor de Limburgse gedeputeerde Ruud Burlet. Een moeilijke beslissing, zei Burlet bij de regionale omroep L1, maar een opluchting toen hij die eenmaal had genomen. Hij blijft wel gedeputeerde.",'lijn-Baudet',0.0
Tot nu toe werd het dragen van een mondkapje in publiek toegankelijke binnenruimtes 'dringend geadviseerd'. Uit gedragsonderzoek van het RIVM blijkt dat 76 procent van de mensen daar de afgelopen tijd gehoor aan heeft gegeven.,'dringend geadviseerd',1.0
Bij bitcoin is het een beetje 'wat de gek ervoor geeft'. De koers kan hard stijgen en ook weer hard dalen. In 2017 was er sprake van een bitcoin-hype en steeg de koers in een jaar tijd van minder dan 1000 dollar naar meer dan 19.000. Daarna stortte de koers in naar rond de 3000 dollar.,'wat de gek ervoor geeft',1.0
"Werkgevers in de zorgsector hebben massaal 'coronabonussen' aangevraagd voor hun personeel. Het aantal aanvragen is veel groter dan gedacht, waardoor het kabinet naar schatting alleen al voor dit jaar 800 miljoen extra kwijt is.",'coronabonussen',0.0
